DATA DUMP:
  data[0] = 71876166
  data[1] = 537146758
  data[2] = 783815874
  data[3] = 1633529762
  data[4] = 2108313867
  data[5] = 1192349579
  data[6] = 590056433
  data[7] = 257580280
  data[8] = 1961870665
  data[9] = 836042151
  data[10] = 664069454
  data[11] = 750421979
  data[12] = 1616936901
  data[13] = 422344247
  data[14] = 2042690320
  data[15] = 1294903773
  data[16] = 1673227668
  data[17] = 1988702605
  data[18] = 1450949922
  data[19] = 760391291
  data[20] = 153692284
  data[21] = 282190198
  data[22] = 342529663
  data[23] = 1464982663
  data[24] = 1018861598
  data[25] = 62988099
  data[26] = 553751049
  data[27] = 997726727
  data[28] = 747432831
  data[29] = 998301443
  data[30] = 219726320
  data[31] = 366586388
  data[32] = 1841778059
  data[33] = 2086944109
  data[34] = 1884855090
  data[35] = 2061439289
  data[36] = 1456469273
  data[37] = 1823308493
  data[38] = 1585108019
  data[39] = 1577576182
  data[40] = 1824489044
  data[41] = 1388676640
  data[42] = 1711395292
  data[43] = 1962352107
  data[44] = 188880957
  data[45] = 604681897
  data[46] = 142680046
  data[47] = 1994395802
  data[48] = 548189690
  data[49] = 786974002
  data[50] = 1100953191
  data[51] = 1259313425
  data[52] = 1311515305
  data[53] = 704435674
  data[54] = 1791144929
  data[55] = 1531979544
  data[56] = 435230875
  data[57] = 781719832
  data[58] = 320463477
  data[59] = 1750180120
  data[60] = 1129707629
  data[61] = 360865678
  data[62] = 2122459278
  data[63] = 1103763832
  data[64] = 183113053
  data[65] = 1588588167
  data[66] = 1847247935
  data[67] = 18854742
  data[68] = 1687946992
  data[69] = 970387781
  data[70] = 1084940938
  data[71] = 2043637992
  data[72] = 1288112046
  data[73] = 1355429677
  data[74] = 14172633
  data[75] = 1446144864
  data[76] = 886280163
  data[77] = 1629389553
  data[78] = 1775800657
  data[79] = 1561546659
  data[80] = 361262906
  data[81] = 913768012
  data[82] = 1301211213
  data[83] = 1443305333
  data[84] = 1235408928
  data[85] = 499994959
  data[86] = 1451567366
