zip,beds,baths,sqft,price
85601,2,2,1255,260000
85602,2,2,1255,260000
85602,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,1255,260000
85603,2,2,960,285000
85603,2,2,960,285000
85603,2,2,960,285000
85603,2,2,960,285000
85603,2,2,960,285000
85603,2,2,960,285000
85603,2,2,960,285000
85603,2,2,960,285000
85603,2,2,960,285000
85603,2,2,960,285000
85603,2,2,960,285000
85603,2,2,960,285000
85603,2,2,960,285000
85603,2,2,960,285000
85603,2,2,960,285000
85603,2,2,960,285000
85603,2,2,960,285000
85603,2,2,960,285000
85603,4,3,2278,420454
85603,4,3,2278,420454
85603,4,3,2278,420454
85603,4,3,2278,420454
85603,4,3,2278,420454
85603,4,3,2278,420454
85603,4,3,2278,420454
85603,4,3,2278,420454
85603,4,3,2278,420454
85603,4,3,2278,420454
85603,4,3,2278,420454
85603,4,3,2278,420454
85603,4,3,2278,420454
85603,4,3,2278,420454
85603,4,3,2278,420454
85603,4,3,2278,420454
85603,4,3,2278,420454
85603,4,3,2278,420454
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1000,182000
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1326,250134
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1598,484000
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,2,2,1637,220702
85608,3,1,1152,181872
85608,3,1,1152,181872
85608,3,1,1152,181872
85608,3,1,1152,181872
85608,3,1,1152,181872
85608,3,1,1152,181872
85608,3,1,1152,181872
85608,3,1,1152,181872
85608,3,1,1152,181872
85608,3,1,1152,181872
85608,3,1,1152,181872
85608,3,1,1152,181872
85608,3,1,1152,181872
85608,3,1,1152,181872
