The LDA/Score will have a function of LDA = -0.257878*(x-mean(datax)) + 0.0860891*(y-mean(datay))

The classes will be separated by score with 0 as the middle,
so scores with positive values are probably in one class while negative scores are in the other are separated by scores above zero and scores below zero

//////////////////TRAINING RESULT////////////////////
DataX	Datay	Score	Class
2	21	0.907	CLASS1
19	61	-0.0332	CLASS1
2	37	2.28	CLASS1
16	59	0.568	CLASS1
37	127	1.01	CLASS1
11	73	3.06	CLASS1
26	110	2.38	CLASS1
24	114	3.24	CLASS1
12	55	1.26	CLASS1
27	110	2.12	CLASS1
37	150	2.99	CLASS1
2	35	2.11	CLASS1
6	23	0.0478	CLASS1
14	61	1.26	CLASS1
19	93	2.72	CLASS1
4	45	2.46	CLASS1
1	18	0.907	CLASS1
9	32	0.049	CLASS1
6	41	1.6	CLASS1
15	77	2.38	CLASS1
14	56	0.826	CLASS1
31	119	1.87	CLASS1
4	24	0.65	CLASS1
12	43	0.222	CLASS1
38	157	3.33	CLASS1
13	63	1.69	CLASS1
18	72	1.17	CLASS1
38	153	2.99	CLASS1
15	88	3.32	CLASS1
6	46	2.03	CLASS1
34	109	0.231	CLASS1
36	147	2.99	CLASS1
17	60	0.396	CLASS1
17	59	0.31	CLASS1
19	77	1.34	CLASS1
19	78	1.43	CLASS1
8	36	0.651	CLASS1
31	106	0.746	CLASS1
21	94	2.29	CLASS1
2	40	2.54	CLASS1
38	146	2.38	CLASS1
9	57	2.2	CLASS1
37	142	2.3	CLASS1
0	27	1.94	CLASS1
1	33	2.2	CLASS1
26	111	2.47	CLASS1
30	133	3.33	CLASS1
10	66	2.72	CLASS1
33	105	0.144	CLASS1
26	121	3.33	CLASS1
4	25	0.736	CLASS1
38	127	0.749	CLASS1
5	23	0.306	CLASS1
10	61	2.29	CLASS1
0	23	1.6	CLASS1
39	135	1.18	CLASS1
35	109	-0.027	CLASS1
35	113	0.317	CLASS1
32	128	2.38	CLASS1
34	132	2.21	CLASS1
36	131	1.61	CLASS1
31	124	2.3	CLASS1
0	8	0.304	CLASS1
